Player,TEAM,POS,DPCHT,G,FG,FG_mean,FGA,FGA_mean,FG_PCT,LG,LG_mean,FG_10_19,FG_10_19_mean,FG_20_29,FG_20_29_mean,FG_30_39,FG_30_39_mean,FG_40_49,FG_40_49_mean,FG_50,FG_50_mean,XP,XP_mean,XPA,XPA_mean,XP_PCT,OPP,OPP_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Evan McPherson,CIN,K,1.0,16.0,28.0,1.75,33.0,2.06,0.85,58.0,41.12,0.0,0.0,5.0,0.31,8.0,0.5,6.0,0.38,9.0,0.56,46.0,2.88,48.0,3.0,0.96,147.0,9.19,1.0,154.0,9.62,11.0,4.63,8.19,4.0,3.0,0.0,5.0,4.0,1.29,0.33,10.2,154.0,9.62,11.0,4.63,8.19,4.0,3.0,0.0,6.0,3.0,1.29,0.23,10.09,154.0,9.62,11.0,4.63,8.19,4.0,3.0,0.0,5.0,4.0,1.29,0.33,10.2,1,7.93,134.73,3.0
Wil Lutz,DEN,K,1.0,16.0,26.6,1.66,31.2,1.95,0.85,55.0,32.61,0.4,0.02,6.6,0.41,8.4,0.52,9.4,0.59,1.8,0.11,53.4,3.34,54.4,3.4,0.98,148.0,9.25,1.0,146.2,9.14,9.4,3.75,8.21,4.0,2.4,1.8,4.0,3.8,0.98,0.32,9.34,146.2,9.14,9.4,3.75,8.21,4.0,2.4,1.4,4.8,3.4,1.14,0.27,9.38,146.2,9.14,9.4,3.75,8.21,4.0,2.8,1.0,4.4,3.8,1.14,0.32,9.43,3,7.83,133.17,5.0
Greg Zuerlein,NYJ,K,1.0,16.0,29.53,1.84,36.47,2.28,0.81,57.37,35.77,0.32,0.02,5.42,0.34,12.68,0.79,8.16,0.51,2.95,0.18,39.16,2.44,42.95,2.68,0.92,152.37,9.52,1.0,141.79,8.86,9.84,4.27,7.7,4.84,1.84,2.37,2.68,4.26,0.82,0.4,9.28,141.79,8.86,9.84,4.27,7.7,5.05,1.16,3.53,1.79,4.47,0.72,0.42,9.21,141.79,8.86,9.84,4.27,7.7,5.05,1.16,2.84,3.16,3.79,0.82,0.36,9.23,3,6.12,104.11,27.0
Daniel Carlson,LV,K,1.0,16.47,33.37,2.01,36.89,2.23,0.89,53.68,37.64,0.0,0.0,12.11,0.74,9.26,0.56,7.89,0.48,4.11,0.24,35.58,2.17,38.05,2.32,0.93,148.74,9.01,1.0,151.79,9.19,9.53,4.17,8.14,4.16,3.32,2.32,3.84,2.84,0.79,0.22,9.04,151.79,9.19,9.53,4.17,8.14,4.47,3.0,1.84,3.84,3.32,0.94,0.27,9.19,151.79,9.19,9.53,4.17,8.14,4.26,2.74,2.79,3.37,3.32,0.79,0.27,9.1,3,7.44,126.52,9.0
Justin Tucker,BAL,K,1.0,16.47,30.68,1.86,32.79,1.99,0.94,59.37,40.07,0.0,0.0,7.53,0.46,8.05,0.49,11.11,0.67,4.0,0.24,43.58,2.67,44.32,2.71,0.99,142.68,8.67,1.0,154.74,9.39,9.47,3.96,8.32,3.42,3.11,3.26,2.42,4.26,0.77,0.37,9.21,154.74,9.39,9.47,3.96,8.32,3.42,3.11,3.74,2.84,3.37,0.66,0.26,9.02,154.74,9.39,9.47,3.96,8.32,3.84,3.0,3.42,1.95,4.26,0.66,0.37,9.13,3,7.61,129.32,7.0
Younghoe Koo,ATL,K,1.0,14.47,29.32,2.14,31.53,2.32,0.93,53.16,37.71,0.0,0.0,8.21,0.59,9.63,0.72,6.84,0.52,4.63,0.31,27.79,1.92,28.95,2.01,0.96,123.53,8.95,0.97,131.84,9.46,9.42,4.48,8.1,4.74,1.68,1.79,3.74,2.53,1.02,0.34,8.95,131.84,9.46,9.42,4.48,8.1,4.42,2.0,1.32,4.21,2.53,1.09,0.34,9.01,131.84,9.46,9.42,4.48,8.1,4.95,1.47,1.79,3.74,2.53,1.02,0.34,8.95,3,7.62,129.6,6.0
Chris Boswell,PIT,K,1.0,15.53,29.16,1.85,31.79,2.01,0.92,55.89,37.96,0.21,0.01,8.16,0.52,7.16,0.46,9.32,0.6,4.32,0.26,29.42,1.95,31.63,2.1,0.93,127.0,8.12,1.0,134.84,8.6,9.53,4.14,7.54,4.89,2.11,2.37,3.26,2.89,0.71,0.24,8.66,134.84,8.6,9.53,4.14,7.54,4.89,2.11,2.37,3.26,2.89,0.71,0.24,8.66,134.84,8.6,9.53,4.14,7.54,4.79,1.89,2.68,3.05,3.11,0.71,0.25,8.69,3,6.76,115.0,19.0
Matt Gay,IND,K,1.0,13.63,25.26,1.88,28.53,2.13,0.89,54.37,41.41,0.0,0.0,4.74,0.34,9.74,0.71,7.53,0.61,3.26,0.22,36.84,2.63,38.37,2.72,0.97,123.95,9.11,0.95,126.68,9.31,9.32,2.97,8.98,1.89,2.84,3.84,3.47,1.58,0.62,0.11,8.57,126.68,9.31,9.32,2.97,8.98,1.79,2.37,4.42,3.26,1.79,0.62,0.13,8.59,126.68,9.31,9.32,2.97,8.98,2.11,2.32,3.89,3.74,1.58,0.66,0.11,8.61,3,7.29,123.87,13.0
Harrison Butker,KC,K,1.0,16.0,26.89,1.68,29.79,1.86,0.9,56.63,37.07,0.63,0.04,5.53,0.35,9.95,0.62,5.58,0.35,5.21,0.33,46.89,2.93,50.37,3.15,0.93,139.74,8.73,1.0,143.58,8.98,8.89,3.38,8.29,4.0,3.11,4.11,1.84,2.95,0.56,0.23,8.62,143.58,8.98,8.89,3.38,8.29,3.89,3.0,4.53,1.84,2.74,0.48,0.21,8.55,143.58,8.98,8.89,3.38,8.29,3.89,3.32,4.0,1.84,2.95,0.56,0.23,8.62,3,6.92,117.63,17.0
Tyler Bass,BUF,K,1.0,16.6,28.0,1.69,32.8,1.98,0.86,57.4,31.95,0.4,0.02,12.6,0.75,6.6,0.4,5.6,0.34,2.8,0.17,53.4,3.22,54.2,3.28,0.99,152.6,9.21,1.0,148.6,8.97,8.6,4.37,7.75,4.0,3.4,3.8,2.4,3.0,0.49,0.22,8.32,148.6,8.97,8.6,4.37,7.75,4.0,4.4,3.4,1.8,3.0,0.43,0.22,8.25,148.6,8.97,8.6,4.37,7.75,4.4,4.0,3.4,1.8,3.0,0.43,0.22,8.25,2,6.97,118.52,16.0
Nick Folk,TEN,K,1.0,14.58,28.21,1.94,30.89,2.15,0.9,51.95,36.39,0.21,0.03,7.21,0.52,8.05,0.54,9.53,0.65,3.21,0.2,31.89,2.12,35.21,2.32,0.92,127.89,8.77,0.97,132.47,9.0,8.53,4.38,7.79,5.0,2.37,2.53,1.0,3.68,0.49,0.34,8.08,132.47,9.0,8.53,4.38,7.79,4.79,2.58,2.53,1.0,3.68,0.49,0.34,8.08,132.47,9.0,8.53,4.38,7.79,4.68,2.68,2.53,1.21,3.47,0.49,0.3,8.04,3,7.32,124.49,12.0
Dustin Hopkins,CLE,K,1.0,16.47,28.0,1.7,33.16,2.01,0.84,50.95,34.83,0.47,0.03,6.84,0.41,6.74,0.41,11.95,0.72,2.0,0.12,32.84,1.98,35.58,2.15,0.93,135.05,8.19,1.0,132.79,8.04,8.63,3.89,7.17,5.68,2.05,2.58,4.16,2.0,0.6,0.14,8.0,132.79,8.04,8.63,3.89,7.17,5.68,2.05,2.58,4.16,2.0,0.6,0.14,8.0,132.79,8.04,8.63,3.89,7.17,5.68,2.05,2.58,4.16,2.0,0.6,0.14,8.0,3,6.63,112.71,21.0
Randy Bullock,FA,K,0.0,14.74,24.63,1.68,29.42,2.01,0.84,53.53,35.56,0.0,0.0,5.42,0.36,9.47,0.65,8.11,0.55,1.63,0.12,32.53,2.19,34.47,2.32,0.95,122.74,8.35,1.0,117.79,8.02,8.42,4.17,7.02,5.63,1.26,2.32,4.21,1.32,0.64,0.11,7.86,117.79,8.02,8.42,4.17,7.02,5.63,1.26,2.32,4.21,1.32,0.64,0.11,7.86,117.79,8.02,8.42,4.17,7.02,5.42,1.47,2.32,4.0,1.53,0.64,0.13,7.88,3,4.79,81.49,33.0
Robbie Gould,FA,K,0.0,13.63,20.32,1.5,24.68,1.82,0.83,50.95,35.47,0.0,0.0,5.68,0.43,5.16,0.38,7.42,0.54,2.05,0.15,38.47,2.84,39.79,2.94,0.97,113.84,8.41,1.0,110.95,8.19,7.89,3.41,7.58,4.42,2.37,2.16,2.89,1.79,0.54,0.15,7.86,110.95,8.19,7.89,3.41,7.58,4.42,2.37,2.63,2.0,2.21,0.45,0.2,7.83,110.95,8.19,7.89,3.41,7.58,4.21,2.58,2.63,2.42,1.79,0.45,0.15,7.78,3,5.41,91.92,31.0
Joey Slye,NE,K,1.0,14.11,25.32,1.81,29.95,2.12,0.86,55.79,37.03,0.0,0.0,8.37,0.61,6.58,0.46,5.84,0.42,3.89,0.28,25.47,1.77,29.16,2.04,0.87,119.0,8.39,1.0,113.16,8.06,8.18,4.23,7.03,5.11,1.95,1.74,3.42,1.89,0.62,0.17,7.84,113.16,8.06,8.18,4.23,7.03,5.21,1.84,1.74,3.63,1.68,0.62,0.15,7.81,113.16,8.06,8.18,4.23,7.03,5.63,1.42,1.74,3.63,1.68,0.62,0.15,7.81,3,6.11,103.86,28.0
Rodrigo Blankenship,FA,K,0.0,9.4,19.4,2.12,23.2,2.6,0.82,50.0,37.66,0.0,0.0,5.8,0.61,6.6,0.66,6.6,0.82,0.4,0.02,21.4,1.92,22.8,2.08,0.91,92.4,9.9,0.83,87.0,9.15,9.8,3.56,8.34,1.8,2.2,1.0,2.8,1.6,0.8,0.13,7.73,87.0,9.15,9.8,3.56,8.34,2.2,1.4,1.4,2.8,1.6,0.8,0.13,7.73,87.0,9.15,9.8,3.56,8.34,2.2,1.4,1.4,2.8,1.6,0.8,0.13,7.73,2,4.6,78.25,34.0
Matt Prater,ARI,K,1.0,16.47,26.32,1.59,32.89,1.99,0.8,59.79,34.46,0.0,0.0,8.79,0.53,6.89,0.42,3.95,0.24,6.68,0.41,41.63,2.52,43.74,2.65,0.95,142.42,8.62,1.0,137.89,8.35,7.16,4.76,7.08,5.95,3.42,1.63,1.74,3.74,0.5,0.3,7.51,137.89,8.35,7.16,4.76,7.08,5.95,3.63,1.42,1.74,3.74,0.5,0.3,7.51,137.89,8.35,7.16,4.76,7.08,5.63,3.74,1.63,1.74,3.74,0.5,0.3,7.51,3,7.85,133.41,4.0
Riley Patterson,ATL,K,2.0,7.0,13.0,1.86,14.0,2.0,0.93,49.0,29.29,0.0,0.0,3.0,0.43,6.0,0.86,4.0,0.57,0.0,0.0,16.0,2.29,16.0,2.29,1.0,58.0,8.29,0.84,59.0,8.43,10.0,5.26,6.95,3.0,0.0,0.0,1.0,3.0,1.33,0.75,8.07,59.0,8.43,10.0,5.26,6.95,3.0,0.0,1.0,1.0,2.0,0.75,0.4,7.45,59.0,8.43,10.0,5.26,6.95,3.0,0.0,0.0,1.0,3.0,1.33,0.75,8.07,1,5.71,97.09,30.0
Jason Sanders,MIA,K,1.0,16.47,27.11,1.65,33.32,2.03,0.8,53.21,35.68,0.32,0.02,6.84,0.42,7.21,0.44,8.63,0.52,4.11,0.25,33.58,2.04,34.26,2.08,0.98,134.21,8.16,1.0,133.02,8.11,7.42,4.36,7.03,7.21,1.68,3.16,1.89,2.53,0.52,0.24,7.4,133.02,8.11,7.42,4.36,7.03,7.11,1.79,3.16,1.89,2.53,0.52,0.24,7.4,133.02,8.11,7.42,4.36,7.03,7.0,1.89,2.68,2.37,2.53,0.56,0.24,7.45,3,7.44,126.45,10.0
Zane Gonzalez,WAS,K,1.0,12.84,21.05,1.62,24.74,1.91,0.85,56.05,34.15,0.0,0.0,6.63,0.5,3.63,0.25,8.32,0.67,2.47,0.2,29.58,2.31,30.58,2.4,0.97,104.79,8.12,1.0,106.0,8.24,7.18,4.63,7.04,4.95,2.26,2.0,0.84,2.79,0.39,0.29,7.34,106.0,8.24,7.18,4.63,7.04,4.95,2.26,1.79,1.05,2.79,0.42,0.29,7.37,106.0,8.24,7.18,4.63,7.04,5.16,1.74,2.32,0.84,2.79,0.39,0.29,7.34,3,7.39,125.69,11.0
Brandon McManus,GB,K,1.0,16.16,27.26,1.7,32.58,2.03,0.84,58.37,38.67,0.0,0.0,6.47,0.4,5.79,0.36,8.63,0.54,6.37,0.4,28.47,1.75,30.11,1.86,0.94,127.84,7.94,1.0,131.63,8.18,7.53,4.66,6.97,6.21,2.53,3.16,1.53,2.74,0.38,0.21,7.33,131.63,8.18,7.53,4.66,6.97,6.42,2.32,3.37,0.84,3.21,0.35,0.25,7.35,131.63,8.18,7.53,4.66,6.97,6.53,2.21,3.16,1.53,2.74,0.38,0.21,7.33,3,7.23,122.93,14.0
Michael Badgley,DET,K,1.0,13.11,18.84,1.43,24.21,1.83,0.79,48.84,33.02,0.0,0.0,5.47,0.42,5.16,0.38,7.58,0.59,0.63,0.04,34.32,2.61,35.74,2.71,0.97,108.37,8.19,0.99,99.68,7.58,7.89,3.67,6.91,4.21,2.37,3.68,2.0,0.84,0.29,0.07,7.11,99.68,7.58,7.89,3.67,6.91,4.0,2.58,3.68,2.0,0.84,0.29,0.07,7.11,99.68,7.58,7.89,3.67,6.91,4.0,2.58,3.68,2.0,0.84,0.29,0.07,7.11,3,6.22,105.71,25.0
Greg Joseph,NYJ,K,2.0,12.69,22.85,1.34,26.31,1.55,0.6,38.08,27.41,0.0,0.0,5.54,0.33,7.62,0.45,4.85,0.28,4.85,0.28,27.69,2.39,30.46,2.55,0.93,109.38,7.2,0.86,110.77,7.28,8.15,3.72,6.45,3.69,2.08,2.77,2.08,2.08,0.38,0.15,6.77,110.77,7.28,8.15,3.72,6.45,3.69,2.08,2.08,2.08,2.77,0.48,0.21,6.94,110.77,7.28,8.15,3.72,6.45,3.69,2.08,2.77,2.08,2.08,0.38,0.15,6.77,3,11.36,193.2,1.0
Brett Maher,FA,K,0.0,9.54,17.23,1.86,21.69,2.27,0.82,48.46,33.06,0.0,0.0,5.54,0.56,7.38,0.83,3.08,0.37,1.23,0.1,18.0,1.72,19.38,1.89,0.88,84.46,8.69,0.92,75.23,7.85,7.69,4.79,6.64,4.0,1.23,1.0,1.69,1.62,0.55,0.19,6.88,75.23,7.85,7.69,4.79,6.64,4.31,0.92,1.0,1.69,1.62,0.55,0.19,6.88,75.23,7.85,7.69,4.79,6.64,4.0,1.23,1.0,1.69,1.62,0.55,0.19,6.88,3,3.95,67.09,38.0
Ryan Succop,FA,K,0.0,14.58,20.89,1.28,25.26,1.63,0.71,45.05,24.84,0.32,0.02,8.37,0.5,6.37,0.4,5.53,0.33,0.32,0.02,48.0,3.31,51.21,3.52,0.94,127.0,8.4,0.97,116.84,7.52,7.11,3.76,6.7,5.47,3.42,2.53,0.47,2.68,0.25,0.2,6.83,116.84,7.52,7.11,3.76,6.7,5.47,2.95,3.0,0.47,2.68,0.25,0.2,6.83,116.84,7.52,7.11,3.76,6.7,5.37,3.05,3.0,0.47,2.68,0.25,0.2,6.83,3,6.05,102.77,29.0
Mason Crosby,FA,K,0.0,16.47,21.53,1.3,26.21,1.58,0.86,54.95,31.54,0.53,0.03,5.0,0.3,8.16,0.49,4.95,0.3,2.89,0.18,50.26,3.06,52.68,3.2,0.96,131.32,7.94,1.0,125.58,7.61,6.63,3.97,6.74,7.42,2.16,2.68,1.58,2.63,0.35,0.2,6.83,125.58,7.61,6.63,3.97,6.74,7.74,1.84,2.68,2.0,2.21,0.35,0.17,6.79,125.58,7.61,6.63,3.97,6.74,7.53,2.05,2.68,1.58,2.63,0.35,0.2,6.83,3,4.98,84.59,32.0
